speech_id,date,speaker,borderline_vars,notes,inflation_attention,inflation_outlook,growth_attention,growth_outlook,financial_stability_attention,uncertainty_attention
ecb_1899,2016-11-14,Peter Praet,inflation_outlook;uncertainty_attention,Inflation is substantive but no sufficiently explicit expected inflation path is given. The economy is described as recovering steadily and unemployment falling. Natural-rate estimation uncertainty is methodological rather than a broad outlook emphasis.,1,0,1,1,0,0
ecb_0051,1999-06-17,Otmar Issing,inflation_outlook,"Inflation is discussed substantively in monetary-policy design, but not as a specific current directional outlook. Uncertainty is a central theme.",1,0,0,0,0,1
ecb_1546,2013-09-30,Yves Mersch,growth_outlook,Recent data explicitly say growth and job prospects are slowly improving; the financial-system discussion is extensive and systemic.,0,0,1,1,1,0
ecb_1732,2015-06-04,Yves Mersch,,,0,0,0,0,0,0
ecb_0317,2002-12-09,Otmar Issing,inflation_outlook,"Inflation processes and uncertainty about future inflation are substantive, but the speech is methodological and does not give a directional current inflation outlook.",1,0,0,0,0,1
ecb_2323,2020-07-13,Fabio Panetta,,,0,0,0,0,1,0
ecb_2388,2021-04-14,Luis de Guindos,inflation_outlook,"Headline inflation is explicitly expected to rise in coming months even though medium-term inflation remains below the aim. Activity is expected to recover and pick up strongly, despite a fragile recovery.",1,1,1,1,1,1
ecb_2421,2021-10-11,Philip R. Lane,uncertainty_attention,"The speech is about the reaction function/toolbox. Forecast uncertainty is acknowledged, but not emphasized enough to code uncertainty attention.",1,0,0,0,0,0
ecb_2297,2020-02-20,Luis de Guindos,,"Inflation is explicitly expected to increase; the baseline is continued moderate expansion, while downside risks and coronavirus uncertainty are emphasized.",1,1,1,1,0,1
ecb_0484,2004-12-03,Gertrude Tumpel-Gugerell,inflation_attention;growth_attention,Prices and GDP appear mainly as variables affected by exchange rates; there is no substantive inflation or real-activity outlook discussion.,0,0,0,0,0,0
ecb_0418,2004-05-10,Otmar Issing,financial_stability_attention,"Inflation/deflation and asset-price transmission are substantive, but hypothetical/conceptual. Asset-price risks are discussed without a sufficiently explicit systemic financial-stability framing.",1,0,0,0,0,0
ecb_0623,2006-05-22,Otmar Issing,growth_outlook,"Growth is substantively discussed as an outcome of globalization and structural reforms, but the excerpt does not establish a clear expected near/medium-term trajectory.",0,0,1,0,0,0
ecb_0988,2009-04-17,Jean-Claude Trichet,uncertainty_attention,The excerpt describes rapidly receding inflationary pressures and an acute downturn/weak recovery prospects. Financial crisis and uncertainty over losses/earnings are substantive.,1,-1,1,-1,1,1
ecb_2304,2020-03-02,Luis de Guindos,growth_outlook,"Inflation is expected to rise via wages. Growth signals are mixed: prior stabilisation and robust services/consumption are offset by new coronavirus downside risks, so growth direction is neutral.",1,1,1,0,1,1
ecb_0496,2005-01-20,Otmar Issing,financial_stability_attention;uncertainty_attention,"Liquidity discussion concerns monetary-policy implementation rather than systemic financial stability; banknote/liquidity uncertainty is operational, not substantive macro outlook uncertainty.",0,0,0,0,0,0
ecb_2202,2019-03-27,Luis de Guindos,,Growth projections are revised down and risks are tilted down; financial-stability concerns and uncertainty are central.,0,0,1,-1,1,1
ecb_2638,2024-06-07,Isabel Schnabel,inflation_outlook;growth_outlook,"The future inflation outlook is explicitly uncertain, so no direction is assigned. Growth is substantively discussed but without a dominant expected trajectory.",1,0,1,0,0,1
ecb_0451,2004-09-23,Jean-Claude Trichet,inflation_outlook,"Baseline inflation is expected to fall below 2% after near-term elevation, despite upside risks. Recovery is expected to continue and broaden.",1,-1,1,1,0,1
ecb_2285,2020-01-08,Luis de Guindos,,Future EU-UK financial relations and associated stability risks are substantively uncertain.,0,0,0,0,1,1
ecb_0827,2008-01-24,Lorenzo Bini Smaghi,,,0,0,0,0,1,0
ecb_2259,2019-10-28,Mario Draghi,inflation_outlook;growth_outlook,"Inflation/deflation and growth are substantively discussed, but largely retrospectively and institutionally; no sufficiently clear forward directional path in the supplied excerpt.",1,0,1,0,0,0
ecb_0114,2000-02-24,Christian Noyer,uncertainty_attention,Upward risks to price stability are explicit and the cyclical upswing is expected to remain strong/sustainable. Risk assessment is routine rather than unusually uncertain.,1,1,1,1,0,0
ecb_0788,2007-10-21,Lorenzo Bini Smaghi,,Market/funding liquidity fragility and abrupt liquidity dry-ups are central; uncertainty is part of the mechanism discussed.,0,0,0,0,1,1
ecb_1684,2014-11-21,Mario Draghi,financial_stability_attention,Inflation is persistently weak with downside risk; a stronger recovery is explicitly described as unlikely. Banking fragmentation appears mainly as a monetary-transmission problem rather than a substantive financial-stability assessment.,1,-1,1,-1,0,0
ecb_0689,2007-01-15,Gertrude Tumpel-Gugerell,inflation_outlook;financial_stability_attention,Inflation is discussed but no forward inflation path is specified. Economic activity is expanding robustly. Rapid credit growth is explicitly linked to financial-stability risk.,1,0,1,1,1,0
ecb_0917,2008-09-22,Jean-Claude Trichet,growth_outlook,Future inflationary pressures after euro adoption are explicitly highlighted. Strong growth is mainly backward-looking; no clear expected growth path is stated.,1,1,1,0,0,0
ecb_0214,2001-06-29,Christian Noyer,,The speaker explicitly states optimism about long-term growth and employment prospects.,0,0,1,1,0,0
ecb_1887,2016-10-12,Benoît Cœuré,uncertainty_attention,The rebound/stabilisation and preparation for sustainable recovery indicate an improving growth trajectory. Uncertainty references describe the earlier episode rather than a current substantive uncertainty emphasis.,0,0,1,1,1,0
ecb_1819,2016-03-01,Sabine Lautenschläger,growth_attention,"Weak growth/investment are cited as one source of market concern, but real activity is not itself developed enough to count as substantive growth discussion. Uncertainty and banking-sector risk management are central.",0,0,0,0,1,1
ecb_0944,2008-11-21,José Manuel González-Páramo,,The crisis brings extraordinary uncertainty; weakening demand and rate cuts reflect downward growth and price-stability pressures.,1,-1,1,-1,1,1
ecb_0618,2006-05-08,Lorenzo Bini Smaghi,financial_stability_attention,"The speech substantively discusses market fragility, concentration, herding and contagion risks from pension funds. Inflation/output references are mainly about monetary-policy transmission.",0,0,0,0,1,0
ecb_1591,2014-01-30,Benoît Cœuré,inflation_attention,Price stability is mentioned chiefly as the ECB mandate. The nascent recovery is explicitly weak and uneven; banking-sector trust and stability are substantive.,0,0,1,-1,1,0
ecb_1093,2010-03-10,Jean-Claude Trichet,,,0,0,0,0,0,0
ecb_2337,2020-09-28,Isabel Schnabel,inflation_attention,Price stability is mentioned only once in explaining relevance to the ECB. Climate risks are expected to reduce GDP materially; financial vulnerabilities from delayed transition are substantive.,0,0,1,-1,1,0
ecb_1139,2010-06-18,Jean-Claude Trichet,inflation_outlook;growth_outlook,"Inflation expectations are anchored and deflation risks are discussed, but there is no dominant forward inflation path. Real activity is substantive mainly in the crisis account, not as a clear forward outlook.",1,0,1,0,1,0
ecb_0092,1999-11-15,Eugenio Domingo Solans,growth_outlook,"Inflation and growth are substantively discussed in the policy framework; the current inflation level is given, but no directional forward outlook is supplied.",1,0,1,0,0,0
ecb_0049,1999-06-11,Sirkka Hämäläinen,inflation_outlook;growth_outlook,"Price stability and growth are substantive to the institutional/structural argument, but no clear directional forward path is stated.",1,0,1,0,0,0
ecb_2664,2024-10-28,Frank Elderson,,,0,0,0,0,1,0
ecb_0223,2001-09-05,Tommaso Padoa-Schioppa,,Systemic and contagion risks from highly consolidated clearing/settlement networks are explicitly discussed.,0,0,0,0,1,0
