evidence,variable,ceiling_kappa,speech_id,date,speaker,title,code_A,code_B,A_flagged_borderline,words_full,words_in_excerpt,text_file,note_A,note_B,resolved_code,rule_implication,rule_is_new
identical text,uncertainty_attention,0.182,ecb_1139,2010-06-18,Jean-Claude Trichet,Lessons drawn from the crisis,0,1,False,1825,1825,ecb_1139.txt,"Inflation expectations are anchored and deflation risks are discussed, but there is no dominant forward inflation path. Real activity is substantive mainly in the crisis account, not as a clear forward outlook.",The crisis lessons include severe financial stress and weak real activity; inflation is discussed but without a clear dominant forward direction.,0,"Uncertainty threshold: acknowledged, intrinsic, methodological, or routine forecast uncertainty is insufficient. Code uncertainty = 1 only when unpredictability, unusually wide outcomes, exceptional uncertainty, or uncertainty surrounding the economic outlook is itself emphasized or materially shapes the economic/policy argument.",yes
identical text,uncertainty_attention,0.182,ecb_1732,2015-06-04,Yves Mersch,"Getting the balance right: innovation, trust and regulation in retail payments",0,1,False,1878,1878,ecb_1732.txt,,"Retail-payment innovation is discussed through trust, regulation, operational/systemic risk and resilience rather than macro outlook.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
identical text,uncertainty_attention,0.182,ecb_2383,2021-03-18,Luis de Guindos,Banking union: achievements and challenges,0,1,False,1191,1191,ecb_2383.txt,,"Banking-union resilience, crisis management and remaining vulnerabilities are the substantive focus.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
identical text,uncertainty_attention,0.182,ecb_2421,2021-10-11,Philip R. Lane,The monetary policy toolbox and the effective lower bound,0,1,True,1309,1309,ecb_2421.txt,"The speech is about the reaction function/toolbox. Forecast uncertainty is acknowledged, but not emphasized enough to code uncertainty attention.","The focus is the policy toolbox at the effective lower bound; macro outcomes are discussed, but not with one dominant directional trajectory in the excerpt.",0,"Uncertainty threshold: acknowledged, intrinsic, methodological, or routine forecast uncertainty is insufficient. Code uncertainty = 1 only when unpredictability, unusually wide outcomes, exceptional uncertainty, or uncertainty surrounding the economic outlook is itself emphasized or materially shapes the economic/policy argument.",yes
identical text,uncertainty_attention,0.182,ecb_2664,2024-10-28,Frank Elderson,Transcript of video recording for Finance and Biodiversity Day of 16th United Nations Conference on Biological Diversity (COP16) ,0,1,False,411,411,ecb_2664.txt,,"Nature-related risks are linked to price stability, output losses and financial-system vulnerabilities; growth effects are predominantly adverse.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
identical text,growth_attention,0.5,ecb_0788,2007-10-21,Lorenzo Bini Smaghi,Financial globalisation and excess liquidity: monetary policies and new uncertainties,0,1,False,1574,1574,ecb_0788.txt,Market/funding liquidity fragility and abrupt liquidity dry-ups are central; uncertainty is part of the mechanism discussed.,Excess liquidity and globalisation are tied to upside price risks and substantial uncertainty; real-activity implications are mixed.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
identical text,growth_attention,0.5,ecb_2421,2021-10-11,Philip R. Lane,The monetary policy toolbox and the effective lower bound,0,1,False,1309,1309,ecb_2421.txt,"The speech is about the reaction function/toolbox. Forecast uncertainty is acknowledged, but not emphasized enough to code uncertainty attention.","The focus is the policy toolbox at the effective lower bound; macro outcomes are discussed, but not with one dominant directional trajectory in the excerpt.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
identical text,growth_attention,0.5,ecb_2664,2024-10-28,Frank Elderson,Transcript of video recording for Finance and Biodiversity Day of 16th United Nations Conference on Biological Diversity (COP16) ,0,1,False,411,411,ecb_2664.txt,,"Nature-related risks are linked to price stability, output losses and financial-system vulnerabilities; growth effects are predominantly adverse.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
identical text,inflation_attention,0.636,ecb_0788,2007-10-21,Lorenzo Bini Smaghi,Financial globalisation and excess liquidity: monetary policies and new uncertainties,0,1,False,1574,1574,ecb_0788.txt,Market/funding liquidity fragility and abrupt liquidity dry-ups are central; uncertainty is part of the mechanism discussed.,Excess liquidity and globalisation are tied to upside price risks and substantial uncertainty; real-activity implications are mixed.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
identical text,inflation_attention,0.636,ecb_2664,2024-10-28,Frank Elderson,Transcript of video recording for Finance and Biodiversity Day of 16th United Nations Conference on Biological Diversity (COP16) ,0,1,False,411,411,ecb_2664.txt,,"Nature-related risks are linked to price stability, output losses and financial-system vulnerabilities; growth effects are predominantly adverse.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
identical text,growth_outlook,0.714,ecb_1139,2010-06-18,Jean-Claude Trichet,Lessons drawn from the crisis,0,-1,True,1825,1825,ecb_1139.txt,"Inflation expectations are anchored and deflation risks are discussed, but there is no dominant forward inflation path. Real activity is substantive mainly in the crisis account, not as a clear forward outlook.",The crisis lessons include severe financial stress and weak real activity; inflation is discussed but without a clear dominant forward direction.,0,Existing outlook rule: retrospective descriptions and mixed/descriptive material do not establish a forward growth direction; code 0 when no dominant expected trajectory is stated.,no
identical text,growth_outlook,0.714,ecb_2664,2024-10-28,Frank Elderson,Transcript of video recording for Finance and Biodiversity Day of 16th United Nations Conference on Biological Diversity (COP16) ,0,-1,False,411,411,ecb_2664.txt,,"Nature-related risks are linked to price stability, output losses and financial-system vulnerabilities; growth effects are predominantly adverse.",0,"Outlook-versus-mechanism rule: a hypothetical scenario, causal channel, intended structural reform effect, policy simulation, or backward-looking episode does not establish an outlook direction by itself. Assign +1/-1 only when the speaker presents that direction as the expected/baseline forward trajectory or clearly dominant forward risk assessment.",yes
B saw excerpt only,financial_stability_attention,-0.154,ecb_0049,1999-06-11,Sirkka Hämäläinen,The euro: pushing the boundaries,0,1,False,3752,2000,ecb_0049.txt,"Price stability and growth are substantive to the institutional/structural argument, but no clear directional forward path is stated.","EMU is presented as supporting integration and long-run growth, while inflation is mainly discussed through stability-oriented policy rather than a clear trajectory.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0317,2002-12-09,Otmar Issing,Monetary policy in a world of uncertainty,0,1,False,3765,2000,ecb_0317.txt,"Inflation processes and uncertainty about future inflation are substantive, but the speech is methodological and does not give a directional current inflation outlook.","Uncertainty is a central theme of monetary-policy analysis; both inflation and activity are substantive, but the directional outlook is deliberately conditional.",1,"Existing financial-stability rule: explicit, developed discussion of systemic risk, contagion, banking-system vulnerability/resilience, macroprudential risk, or financial-system stress is financial-stability attention = 1.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0351,2003-06-16,Willem F. Duisenberg,The first lustrum of the ECB,0,1,False,2071,2000,ecb_0351.txt,The price-stability outlook is called favourable but without an explicit directional inflation path; growth is described as currently slow without a clear expected trajectory.,"The retrospective on the ECB discusses macro performance and financial stability, but the supplied excerpt does not support a single forward direction.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0418,2004-05-10,Otmar Issing,"Financial Integration, Asset Prices and Monetary Policy",0,1,True,2287,2000,ecb_0418.txt,"Inflation/deflation and asset-price transmission are substantive, but hypothetical/conceptual. Asset-price risks are discussed without a sufficiently explicit systemic financial-stability framing.","The speech substantively links asset prices, monetary policy and financial risks, but the supplied excerpt does not establish a single dominant forward trajectory for inflation or activity.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0451,2004-09-23,Jean-Claude Trichet,European economy: current state and prospects,0,1,False,2759,2000,ecb_0451.txt,"Baseline inflation is expected to fall below 2% after near-term elevation, despite upside risks. Recovery is expected to continue and broaden.","The speech is explicitly about current conditions and prospects, with strengthening activity and upward price pressures/expected inflation developments alongside risks.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0484,2004-12-03,Gertrude Tumpel-Gugerell,Exchange rate moves in a global economy: a central banking perspective,0,1,False,3187,2000,ecb_0484.txt,Prices and GDP appear mainly as variables affected by exchange rates; there is no substantive inflation or real-activity outlook discussion.,"Exchange-rate movements are analysed through inflation, activity and financial channels, with substantial uncertainty but no single dominant macro trajectory.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0496,2005-01-20,Otmar Issing,Monetary Policy Implementation: Lessons from the past and challenges ahead. Opening speech at the ECB Workshop,0,1,True,2144,2000,ecb_0496.txt,"Liquidity discussion concerns monetary-policy implementation rather than systemic financial stability; banknote/liquidity uncertainty is operational, not substantive macro outlook uncertainty.","Operational monetary-policy design and implementation are central; inflation is discussed as the policy objective, while financial-market functioning and uncertainty are substantive.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0623,2006-05-22,Otmar Issing,"Globalisation, emu and the euro",0,1,False,5181,2000,ecb_0623.txt,"Growth is substantively discussed as an outcome of globalization and structural reforms, but the excerpt does not establish a clear expected near/medium-term trajectory.","Globalisation and EMU are linked to growth prospects and financial risks; growth implications are predominantly positive, while inflation direction is mixed.",1,"Existing financial-stability rule: explicit, developed discussion of systemic risk, contagion, banking-system vulnerability/resilience, macroprudential risk, or financial-system stress is financial-stability attention = 1.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0688,2006-12-20,Jean-Claude Trichet,Testimony at the Economic and Monetary Affairs Committee of the European Parliament,0,1,False,2434,2000,ecb_0688.txt,Inflation risks are explicitly tilted upward; the baseline calls for solid growth around potential despite downside risks.,"The testimony contains substantive macro outlook discussion with strengthening activity and inflationary pressures/risks, alongside uncertainty and financial concerns.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0801,2007-11-26,Gertrude Tumpel-Gugerell,The euro - benefits and challenges,0,1,False,3080,2000,ecb_0801.txt,"Inflation and growth differentials are discussed substantively, mainly descriptively/structurally rather than as directional outlooks.","The euro-area economy and benefits/challenges are substantive; growth prospects are positive, while inflation discussion is not a clear directional forecast.",1,"Existing financial-stability rule: explicit, developed discussion of systemic risk, contagion, banking-system vulnerability/resilience, macroprudential risk, or financial-system stress is financial-stability attention = 1.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_0923,2008-10-10,Lorenzo Bini Smaghi,The internationalisation of currencies - A central banking perspective,0,1,True,4199,2000,ecb_0923.txt,"Macro-financial implications are mentioned, but the excerpt does not substantively discuss financial-system risk/resilience in the coding-rule sense.",Currency internationalisation is analysed through monetary and financial channels; no dominant forward macro direction is sufficiently clear.,1,"Existing financial-stability rule: explicit, developed discussion of systemic risk, contagion, banking-system vulnerability/resilience, macroprudential risk, or financial-system stress is financial-stability attention = 1.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_1684,2014-11-21,Mario Draghi,Monetary policy in the euro area,0,1,True,2958,2000,ecb_1684.txt,Inflation is persistently weak with downside risk; a stronger recovery is explicitly described as unlikely. Banking fragmentation appears mainly as a monetary-transmission problem rather than a substantive financial-stability assessment.,"The supplied excerpt explicitly describes a difficult, fragile economic outlook and an increasingly challenging low-inflation environment, with financial fragmentation concerns.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_1899,2016-11-14,Peter Praet,Long-run saving and monetary policy,0,1,False,3044,2000,ecb_1899.txt,Inflation is substantive but no sufficiently explicit expected inflation path is given. The economy is described as recovering steadily and unemployment falling. Natural-rate estimation uncertainty is methodological rather than a broad outlook emphasis.,Inflation is expected to return toward the objective from low levels; real activity is discussed mainly as part of transmission/long-run saving mechanisms.,0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_2128,2018-07-10,Sabine Lautenschläger,20 years of ESCB statistics: Past achievements and future challenges,0,1,False,2530,2000,ecb_2128.txt,The statement that statistics quantifies uncertainty is methodological and does not substantively emphasize uncertainty in the economic outlook.,Economic and financial statistics are discussed as inputs to policy and risk assessment rather than as a directional macro forecast.,0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_2259,2019-10-28,Mario Draghi,Farewell remarks,0,1,False,2420,2000,ecb_2259.txt,"Inflation/deflation and growth are substantively discussed, but largely retrospectively and institutionally; no sufficiently clear forward directional path in the supplied excerpt.","The retrospective contrasts the crisis with a much stronger economy and discusses remaining risks; forward growth emphasis is favorable, inflation direction is not one-sided.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,financial_stability_attention,-0.154,ecb_2717,2025-06-11,Christine Lagarde,Drawing a common map: sustaining global cooperation in a fragmenting world,0,1,False,3348,2000,ecb_2717.txt,"Growth/output is discussed materially in the historical and structural account of global trade, but no clear forward real-activity trajectory is established.",Fragmentation/geoeconomic shocks are linked to weaker activity and substantial uncertainty; inflation effects are discussed as ambiguous/two-sided.,0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
B saw excerpt only,inflation_outlook,0.059,ecb_0451,2004-09-23,Jean-Claude Trichet,European economy: current state and prospects,-1,1,True,2759,2000,ecb_0451.txt,"Baseline inflation is expected to fall below 2% after near-term elevation, despite upside risks. Recovery is expected to continue and broaden.","The speech is explicitly about current conditions and prospects, with strengthening activity and upward price pressures/expected inflation developments alongside risks.",-1,"Conflicting inflation horizons: when near-term headline inflation and the explicitly stated medium-term/policy-relevant inflation outlook point in opposite directions, classify the outlook using the medium-term policy-relevant horizon; transitory near-term movements do not overturn that explicit medium-term direction.",yes
B saw excerpt only,inflation_outlook,0.059,ecb_0834,2008-02-15,Jean-Claude Trichet,Structural reforms for the European economy,1,0,False,4040,2000,ecb_0834.txt,Inflation direction is coded upward because the excerpt stresses above-2% inflation and risk of future second-round wage/price effects. Growth discussion is structural rather than a clear expected cyclical trajectory.,"The speech is about structural reforms intended to raise employment, productivity and potential growth; inflation is not substantively discussed.",1,"Existing inflation-outlook rule: explicit forward inflationary pressure, rising inflation, or clearly upside-dominated price risks supports inflation_outlook = +1 when that is the dominant forward emphasis.",no
B saw excerpt only,inflation_outlook,0.059,ecb_0944,2008-11-21,José Manuel González-Páramo,"The financial market crisis, uncertainty and policy responses",-1,0,False,4139,2000,ecb_0944.txt,The crisis brings extraordinary uncertainty; weakening demand and rate cuts reflect downward growth and price-stability pressures.,"The crisis, systemic stress and uncertainty dominate; real activity is deteriorating. Inflation is not substantively developed in the supplied excerpt.",-1,"Existing inflation-outlook rule: explicit disinflation, receding price pressure, below-target projections, or downside-dominated price risks supports inflation_outlook = -1 when that is the dominant forward emphasis.",no
B saw excerpt only,inflation_outlook,0.059,ecb_0988,2009-04-17,Jean-Claude Trichet,Restoring confidence in the global financial system,-1,0,False,3083,2000,ecb_0988.txt,The excerpt describes rapidly receding inflationary pressures and an acute downturn/weak recovery prospects. Financial crisis and uncertainty over losses/earnings are substantive.,"The global financial crisis, systemic risk and policy response dominate; real activity is adversely affected and uncertainty is substantive.",-1,"Existing inflation-outlook rule: explicit disinflation, receding price pressure, below-target projections, or downside-dominated price risks supports inflation_outlook = -1 when that is the dominant forward emphasis.",no
B saw excerpt only,inflation_outlook,0.059,ecb_1899,2016-11-14,Peter Praet,Long-run saving and monetary policy,0,1,True,3044,2000,ecb_1899.txt,Inflation is substantive but no sufficiently explicit expected inflation path is given. The economy is described as recovering steadily and unemployment falling. Natural-rate estimation uncertainty is methodological rather than a broad outlook emphasis.,Inflation is expected to return toward the objective from low levels; real activity is discussed mainly as part of transmission/long-run saving mechanisms.,1,"Existing inflation-outlook rule: explicit forward inflationary pressure, rising inflation, or clearly upside-dominated price risks supports inflation_outlook = +1 when that is the dominant forward emphasis.",no
B saw excerpt only,inflation_outlook,0.059,ecb_2337,2020-09-28,Isabel Schnabel,When markets fail – the need for collective action in tackling climate change,0,1,False,3548,2000,ecb_2337.txt,Price stability is mentioned only once in explaining relevance to the ECB. Climate risks are expected to reduce GDP materially; financial vulnerabilities from delayed transition are substantive.,"Climate change is treated as a market failure with prospective inflationary/price pressures, adverse output effects, financial risks and high uncertainty.",0,"Outlook-versus-mechanism rule: a hypothetical scenario, causal channel, intended structural reform effect, policy simulation, or backward-looking episode does not establish an outlook direction by itself. Assign +1/-1 only when the speaker presents that direction as the expected/baseline forward trajectory or clearly dominant forward risk assessment.",yes
B saw excerpt only,uncertainty_attention,0.182,ecb_0049,1999-06-11,Sirkka Hämäläinen,The euro: pushing the boundaries,0,1,False,3752,2000,ecb_0049.txt,"Price stability and growth are substantive to the institutional/structural argument, but no clear directional forward path is stated.","EMU is presented as supporting integration and long-run growth, while inflation is mainly discussed through stability-oriented policy rather than a clear trajectory.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0156,2000-09-23,Willem F. Duisenberg,The role of the ECB at the international level,0,1,False,3451,2000,ecb_0156.txt,Financial stability is substantively discussed in the context of international cooperation and contagion; price stability references are mainly mandate-related.,International central-bank cooperation and crisis prevention are discussed through financial stability; activity effects are substantive but not directionally dominant.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0164,2000-10-28,Willem F. Duisenberg,Europe's contribution to the stability of financial markets,0,1,False,2072,2000,ecb_0164.txt,"Inflation expectations are substantively discussed as part of financial-market stability, but no directional forward inflation path is given.",The speech focuses on Europe’s role in financial-market stability and crisis prevention; activity effects are substantive but not directionally dominant.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0214,2001-06-29,Christian Noyer,The euro area: a collection of countries or a single economic entity?,0,1,False,3471,2000,ecb_0214.txt,The speaker explicitly states optimism about long-term growth and employment prospects.,Inflation is discussed mainly in institutional/price-stability terms; no sufficiently clear directional inflation trajectory. Long-run real prospects are explicitly optimistic.,0,"Uncertainty threshold: acknowledged, intrinsic, methodological, or routine forecast uncertainty is insufficient. Code uncertainty = 1 only when unpredictability, unusually wide outcomes, exceptional uncertainty, or uncertainty surrounding the economic outlook is itself emphasized or materially shapes the economic/policy argument.",yes
B saw excerpt only,uncertainty_attention,0.182,ecb_0223,2001-09-05,Tommaso Padoa-Schioppa,Clearing and settlement of securities:   a European perspective,0,1,False,4570,2000,ecb_0223.txt,Systemic and contagion risks from highly consolidated clearing/settlement networks are explicitly discussed.,"Clearing and settlement are discussed in terms of systemic safety, settlement risk and financial infrastructure.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0418,2004-05-10,Otmar Issing,"Financial Integration, Asset Prices and Monetary Policy",0,1,False,2287,2000,ecb_0418.txt,"Inflation/deflation and asset-price transmission are substantive, but hypothetical/conceptual. Asset-price risks are discussed without a sufficiently explicit systemic financial-stability framing.","The speech substantively links asset prices, monetary policy and financial risks, but the supplied excerpt does not establish a single dominant forward trajectory for inflation or activity.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0484,2004-12-03,Gertrude Tumpel-Gugerell,Exchange rate moves in a global economy: a central banking perspective,0,1,False,3187,2000,ecb_0484.txt,Prices and GDP appear mainly as variables affected by exchange rates; there is no substantive inflation or real-activity outlook discussion.,"Exchange-rate movements are analysed through inflation, activity and financial channels, with substantial uncertainty but no single dominant macro trajectory.",1,"Existing uncertainty rule: sustained emphasis on exceptional uncertainty, difficulty predicting outcomes, unusually wide risks, or materially uncertain economic prospects is uncertainty attention = 1.",no
