speech_id,date,speaker,borderline_vars,notes,inflation_attention,inflation_outlook,growth_attention,growth_outlook,financial_stability_attention,uncertainty_attention
ecb_0164,2000-10-28,Willem F. Duisenberg,growth_outlook,The speech focuses on Europe’s role in financial-market stability and crisis prevention; activity effects are substantive but not directionally dominant.,0.0,0.0,1.0,0.0,1.0,1.0
ecb_2664,2024-10-28,Frank Elderson,inflation_outlook,"Nature-related risks are linked to price stability, output losses and financial-system vulnerabilities; growth effects are predominantly adverse.",1.0,0.0,1.0,-1.0,1.0,1.0
ecb_2113,2018-05-17,Vítor Constâncio,inflation_outlook,EMU completion is discussed against recovery and resilience; growth direction is favorable while inflation references do not yield a single dominant trajectory.,1.0,0.0,1.0,1.0,1.0,1.0
ecb_0114,2000-02-24,Christian Noyer,inflation_outlook,The speech explicitly addresses the euro-area outlook and financial markets; activity prospects are strengthening while inflation direction is mixed/conditional.,1.0,0.0,1.0,1.0,1.0,1.0
ecb_1546,2013-09-30,Yves Mersch,growth_outlook,Banking union and the bank-sovereign nexus dominate; growth is discussed as an affected outcome but no single directional outlook dominates.,0.0,0.0,1.0,0.0,1.0,1.0
ecb_0788,2007-10-21,Lorenzo Bini Smaghi,growth_outlook,Excess liquidity and globalisation are tied to upside price risks and substantial uncertainty; real-activity implications are mixed.,1.0,1.0,1.0,0.0,1.0,1.0
ecb_0688,2006-12-20,Jean-Claude Trichet,,"The testimony contains substantive macro outlook discussion with strengthening activity and inflationary pressures/risks, alongside uncertainty and financial concerns.",1.0,1.0,1.0,1.0,1.0,1.0
ecb_0827,2008-01-24,Lorenzo Bini Smaghi,inflation_outlook,"EU economic governance is linked to long-run growth and stability; growth implications are predominantly positive, while inflation is not directionally clear.",1.0,0.0,1.0,1.0,1.0,0.0
ecb_2337,2020-09-28,Isabel Schnabel,,"Climate change is treated as a market failure with prospective inflationary/price pressures, adverse output effects, financial risks and high uncertainty.",1.0,1.0,1.0,-1.0,1.0,1.0
ecb_2717,2025-06-11,Christine Lagarde,inflation_outlook,Fragmentation/geoeconomic shocks are linked to weaker activity and substantial uncertainty; inflation effects are discussed as ambiguous/two-sided.,1.0,0.0,1.0,-1.0,1.0,1.0
ecb_0161,2000-10-16,Sirkka Hämäläinen,inflation_outlook,European integration and the single currency are linked to favorable growth/efficiency prospects; inflation appears mainly in stability-policy discussion.,1.0,0.0,1.0,1.0,0.0,0.0
ecb_0689,2007-01-15,Gertrude Tumpel-Gugerell,inflation_outlook,The euro-area assessment is broadly favorable for activity; inflation is substantive but not clearly directional in the supplied excerpt.,1.0,0.0,1.0,1.0,0.0,0.0
ecb_2133,2018-09-06,Yves Mersch,,"Financial stability is explicitly the central topic, including systemic risk, institutional design and uncertainty.",0.0,0.0,0.0,0.0,1.0,1.0
ecb_0156,2000-09-23,Willem F. Duisenberg,growth_outlook,International central-bank cooperation and crisis prevention are discussed through financial stability; activity effects are substantive but not directionally dominant.,0.0,0.0,1.0,0.0,1.0,1.0
ecb_2259,2019-10-28,Mario Draghi,inflation_outlook,"The retrospective contrasts the crisis with a much stronger economy and discusses remaining risks; forward growth emphasis is favorable, inflation direction is not one-sided.",1.0,0.0,1.0,1.0,1.0,1.0
ecb_0496,2005-01-20,Otmar Issing,inflation_outlook,"Operational monetary-policy design and implementation are central; inflation is discussed as the policy objective, while financial-market functioning and uncertainty are substantive.",1.0,0.0,0.0,0.0,1.0,1.0
ecb_1684,2014-11-21,Mario Draghi,,"The supplied excerpt explicitly describes a difficult, fragile economic outlook and an increasingly challenging low-inflation environment, with financial fragmentation concerns.",1.0,-1.0,1.0,-1.0,1.0,1.0
ecb_1819,2016-03-01,Sabine Lautenschläger,,"Weak global growth/investment, volatile bank prices, leveraged-finance and risk-management concerns dominate; uncertainty is explicitly central.",0.0,0.0,1.0,-1.0,1.0,1.0
ecb_0049,1999-06-11,Sirkka Hämäläinen,inflation_outlook,"EMU is presented as supporting integration and long-run growth, while inflation is mainly discussed through stability-oriented policy rather than a clear trajectory.",1.0,0.0,1.0,1.0,1.0,1.0
ecb_0834,2008-02-15,Jean-Claude Trichet,,"The speech is about structural reforms intended to raise employment, productivity and potential growth; inflation is not substantively discussed.",0.0,0.0,1.0,1.0,0.0,0.0
ecb_0988,2009-04-17,Jean-Claude Trichet,,"The global financial crisis, systemic risk and policy response dominate; real activity is adversely affected and uncertainty is substantive.",0.0,0.0,1.0,-1.0,1.0,1.0
ecb_2638,2024-06-07,Isabel Schnabel,"inflation_outlook,growth_outlook","Inflation and fiscal-monetary interactions are substantive, but the excerpt is primarily about policy dominance and future fiscal constraints rather than a single directional inflation or growth forecast.",1.0,0.0,1.0,0.0,0.0,1.0
